,제목,작가,장르(태국),좋아요수,조회수,구독수,별점,회차,연재시작일(태국),마지막연재일(태국),국가,한국제목,한국작가명,회차(한국),별점(한국),관심수(한국),장르(한국),해시태그(한국),연재시작일(한국),마지막연재일(한국),완결여부,웹툰/시리즈구분,작가전작개수,OSMU여부,태국진출여부,연재기간(태국),연재기간(한국)
0,ปฏิบัติการลับบุกโรงเรียนไฮโซ,AJ,액션,22258,672894,89029,9.88,4,2023-08-21,2023-09-18,한국,잠입! 재벌고,글/그림 AJ,41,9.76,192515,액션,"액션,재벌,학원로맨스",2023-02-26,2023-02-26,False,웹툰,1,False,True,28,0.0
1,ห้องนอนลับของเจ้าหญิงต้องสาป,Henie / HYERIM SUNG,로맨스판타지,568221,18900000,313278,9.73,54,2022-09-12,2023-09-18,한국,버림받은 왕녀의 은밀한 침실,글/그림 혜니 원작 성혜림,68,9.94,290951,로맨스,"로맨스,고자극로맨스,궁중로맨스,까칠남,소설원작,성인웹툰",2022-07-03,2023-09-10,False,웹툰,6,False,True,371,434.0
2,ช่วยเปลี่ยนฉันที,ลีจีโฮ / โฮตี,드라마,1700000,46900000,358044,9.62,193,2020-01-13,2023-09-18,한국,나를 바꿔줘,글 이지호 그림 호띠,215,9.69,259728,드라마,드라마,2019-09-06,2023-09-08,False,웹툰,1,False,True,1344,1463.0
3,นักล่าเงิน,EUN RYU / DO NEUK,액션,1929,96493,17986,9.8,1,2023-09-04,2023-09-18,한국,돈내놔,글 은류 그림 도늑,16,8.2,26261,액션,"액션,서바이벌,사이다,게임판타지,두뇌싸움,먼치킨,머니게임",2023-06-28,2023-09-06,False,웹툰,1,False,True,14,70.0
4,ถูกใจนายติดอ่างที่รัก,แผ่นทองสีดำ,LGBTQ+ / Y,1400000,30800000,360472,9.84,95,2021-01-25,2023-09-10,태국,,,0,,0,,,,,,,0,False,False,958,
5,ชีวิตมหา’ลัยที่ฝันไว้..มันต้องไม่ใช่แบบนี้สิ!,Kai2536,로맨스,1800000,51200000,506643,9.78,152,2019-10-28,2023-09-17,태국,,,0,,0,,,,,,,0,False,False,1420,
6,ใครลักจักรพรรดินี,Muhly / Pinku,로맨스판타지,84519,2400000,112351,9.81,17,2023-05-22,2023-09-18,중국,,,0,,0,,,,,,,0,False,True,119,
7,ฆ่าเขาที สามีของฉัน,Lee Yone / GUMUL,로맨스판타지,182448,6100000,128349,9.69,43,2022-11-28,2023-09-18,한국,남편을 죽여줘요,글 이연 칸트웍스 그림 구물,69,9.93,223285,로맨스,"로맨스,고자극로맨스,서스펜스,로판,감성드라마,성인웹툰",2022-07-13,2023-09-06,False,웹툰,3,False,True,294,420.0
8,ผมไม่ได้เก่งอย่างที่คิด,Meona / Emong,판타지,161600,3700000,147610,9.92,29,2023-03-06,2023-09-18,중국,,,0,,0,,,,,,,0,False,True,196,
9,เจ้าหญิงผมดำกับเจ้าชายผมแดง,Ellianyang / Pang-e,로맨스판타지,1100000,24200000,352683,9.83,106,2020-06-29,2023-09-11,한국,검은머리 황녀님,글 엘리아냥 그림 팡이,107,9.8,91,순정,순정,2020-01-17,2023-06-02,False,시리즈,2,False,True,1169,1232.0
10,แบคXX,Punch Kick / Haetae,액션,84428,2300000,112028,9.91,21,2023-04-17,2023-09-18,한국,백XX,글 병장 박태준 만화회사 그림 펀치킥,40,9.78,275259,액션,"액션,지금추천작,범죄",2023-01-17,2023-01-17,False,웹툰,13,False,True,154,0.0
11,ตำนานการเกิดใหม่ในลัทธิมาร,FORCE STUDIO / codezero,액션,20339,651033,49091,9.78,9,2023-07-17,2023-09-18,한국,마도전생기,글/그림 포스스튜디오 원작 codezero,34,9.94,114475,무협/사극,"무협/사극,지금추천작,힘숨찐,판무,소설원작",2023-09-08,2023-09-08,False,웹툰,2,False,True,63,0.0
12,หลังวันสิ้นโลก,Undead Gamja / S-Cynan,판타지,317738,7800000,175471,9.89,74,2022-04-25,2023-09-18,한국,멸망 이후의 세계,글 S-Cynan 그림 언데드 감자 원작 싱숑,92,9.95,324299,판타지,"판타지,레드아이스 스튜디오,차원이동,아포칼립스,소설원작",2022-02-07,2023-09-11,False,웹툰,2,False,True,511,581.0
13,ยัยตัวร้ายสั่งฉันให้เป็นแม่เลี้ยง,ฮารีฮิน / มกกัมกี,로맨스판타지,633615,13700000,262032,9.83,70,2021-07-05,2023-09-18,한국,흑막 여주가 날 새엄마로 만들려고 해,글 이산시 그림 하리힌 원작 목감기,95,9.94,266139,로맨스,"로맨스,육아물,빙의,로판,소설원작",2021-04-14,2023-09-06,False,웹툰,2,False,True,805,875.0
14,รักใส ๆ ในบ้านวุ่น,ซองอึน / FLADA,로맨스,91839,2700000,77633,9.61,49,2022-10-17,2023-09-11,한국,순수한 동거생활,글/그림 성은 원작 플아다,50,9.85,170312,로맨스,"로맨스,현실로맨스,오피스로맨스,연상연하,사내연애,소설원작",2022-08-03,2023-07-12,False,웹툰,5,False,True,329,343.0
15,SUNSHINE,Ja,LGBTQ+ / Y,248276,4700000,111515,9.76,60,2021-08-23,2023-09-17,태국,,,0,,0,,,,,,,0,False,False,755,
16,องค์ชายผู้เลอโฉม,Aheuredal,로맨스판타지,388167,7500000,159871,9.89,80,2022-02-28,2023-09-18,한국,묘령의 황자,글/그림 아흐레달,99,9.91,149545,드라마,"드라마,성별반전,궁중로맨스,동양풍판타지,걸크러시",2021-11-19,2023-09-08,False,웹툰,1,False,True,567,658.0
17,อัจฉริยะนอกคอก,KKUDADAK / ZAINO,판타지,50799,1300000,64550,9.82,26,2023-03-27,2023-09-18,한국,규격 외 혈통 천재,글 ZAINO 그림 클로버 원작 소울풍,51,9.78,118950,판타지,"판타지,소설원작",2022-08-03,2023-07-12,False,웹툰,2,False,True,175,343.0
18,Player,พัคจงซอก / โอฮยอนจุน,판타지,444239,13600000,181522,9.61,128,2021-04-12,2023-09-18,한국,플레이어,글 박종석 그림 오현준,174,9.86,209735,액션,"액션,게임판타지,이능력배틀물",2020-05-07,2023-09-07,False,웹툰,2,False,True,889,1218.0
19,Love Lock...ไขหัวใจนายวายร้าย,clevercool,로맨스,1300000,33700000,393086,9.78,192,2020-01-20,2023-09-18,한국,Love Lock(러브락),글 clevercool 그림 clevercool,181,8.1,6,순정,순정,2020-09-04,2023-09-08,False,시리즈,1,False,True,1337,1099.0
20,รุ่นพี่สุดสวยคนนี้เป็นผู้ชาย,pom,로맨스,359035,6900000,175801,9.76,84,2022-02-14,2023-09-18,일본,선배는 남자아이,글/그림 pom,100,8.96,122104,로맨스,"로맨스,해외작품",2022-02-19,2022-02-19,False,웹툰,1,False,True,581,0.0
21,ตุ๊กตาหมีของท่านดยุก,Choi Sungha / GOMDOL,로맨스판타지,148716,3200000,92385,9.42,46,2022-08-22,2023-09-18,한국,공작님의 곰인형,글 최성하 그림 곰돌,63,9.8,24,순정,순정,2022-04-22,2023-09-08,False,시리즈,1,False,True,392,504.0
22,เอาชีวิตรอดในเกมฉบับคนเถื่อน,Han tae-su / MIDNIGHT STUDIO,판타지,14282,439630,22388,9.77,11,2023-07-03,2023-09-18,한국,게임 속 바바리안으로 살아남기,글 한태수 그림 MIDNIGHT STUDIO 원작 정윤강,29,9.92,64935,판타지,"판타지,지금추천작,소설원작",2023-04-19,2023-09-06,False,웹툰,3,False,True,77,140.0
23,Doll & I,CHAEYUN SONG / ENRY,드라마,135130,3100000,57749,9.67,75,2022-04-18,2023-09-18,한국,돌&아이,글 송채윤 그림 엔리,89,9.61,60699,드라마,"드라마,레드스트링,연예계,완결드라마",2021-11-13,2023-08-05,True,웹툰,2,False,True,518,630.0
24,ปลาตัวนี้ต้องรอด,DONG9,액션,65836,1300000,46912,9.71,32,2023-02-13,2023-09-18,한국,물고기로 살아남기,글/그림 동우,61,9.32,46272,판타지,"판타지,동물,완결판타지",2022-05-03,2023-07-04,True,웹툰,1,False,True,217,427.0
25,เลิกรา ไม่เลิกงาน,MIMIK / Lee Dalli,로맨스,58513,1600000,48412,9.58,44,2022-11-21,2023-09-18,한국,이별 후 사내 결혼,글/그림 미믹 원작 이달리.,68,9.87,182587,로맨스,"로맨스,오피스로맨스,사내연애,소설원작,완결로맨스",2021-12-05,2023-05-21,True,웹툰,1,False,True,301,532.0
26,Bring the Love,zestkyo,로맨스판타지,51710,1000000,35354,9.47,35,2023-01-23,2023-09-18,한국,HD브링 더 러브,글 제스트쿄 그림 제스트쿄,156,9.9,127,순정,순정,2019-10-21,2023-01-22,True,시리즈,5,False,True,238,1189.0
27,คาเฟ่ลับที่ซอย 9,Mihoiihuhu,로맨스,62372,1100000,42775,9.66,36,2022-09-25,2023-09-17,태국,,,0,,0,,,,,,,0,False,False,357,
28,จารชนวัยโจ๋,teamggulbal / kimjuin,액션,46039,1600000,60624,9.45,46,2022-11-07,2023-09-18,한국,간첩 18세,글 김꿀빨 그림 김주인,56,9.06,87701,액션,"액션,학원물",2022-08-26,2023-09-08,False,웹툰,4,False,True,315,378.0
29,Bug Eater,26,액션,30074,871896,35313,8.67,38,2023-01-02,2023-09-18,한국,버그이터,글/그림 이륙,74,9.28,36750,판타지,"판타지,2021 지상최대공모전,게임판타지,먼치킨",2022-05-15,2023-09-10,False,웹툰,1,False,True,259,483.0
30,กลั้นน้ำตา,Pixel Ghost,일상,3300000,97300000,410015,9.62,1004,2017-01-22,2023-09-17,태국,,,0,,0,,,,,,,0,False,False,2429,
31,ปริศนาห้องปิดตาย,ชิบบัก,공포,106003,2400000,38133,9.48,116,2021-06-22,2023-09-18,한국,방탈출,글/그림 십박,138,9.84,134546,스릴러,"스릴러,완결스릴러",2019-09-10,2022-07-19,True,웹툰,1,False,True,818,1043.0
32,Assassin's Creed: วิหารที่ถูกลืม,Tabii / ARC,액션,7847,364048,22113,9.21,19,2023-05-01,2023-09-18,한국,어쌔신 크리드 - 잊혀진 사원,글 샤이아탄 ARC Ubisoft 그림 Tabii,28,9.8,17776,판타지,"판타지,레드아이스 스튜디오,게임판타지",2023-04-23,2023-09-10,False,웹툰,2,False,True,140,140.0
33,หนุ่มน้อยผู้แสวงหาดวงดาว THE STAR SEEKERS,HYBE,판타지,50443,739001,60856,9.81,64,2022-01-17,2023-09-18,한국,별을 쫓는 소년들,글/그림 HYBE,70,8.24,53603,판타지,"판타지,히어로,연예계",2022-01-17,2023-09-10,False,웹툰,6,False,True,609,601.0
34,Jungle Juice,JUDER / ฮยองอึน,판타지,805851,23600000,345456,9.88,3,2021-03-29,2021-03-29,한국,정글쥬스,글 형은 그림 쥬더,95,9.89,392193,액션,"액션,슈퍼스트링,이능력배틀물,먼치킨",2020-12-30,2023-09-06,False,웹툰,2,False,True,0,980.0
35,STREETxBEAST,Ota Yoshinari / Ichirou,드라마,3583,223250,9414,8.58,3,2023-06-19,2023-06-19,일본,,,0,,0,,,,,,,0,False,True,0,
36,Housekeeper,แชยงแทก / ยูฮยอน,드라마,94437,1900000,48847,9.63,3,2022-05-02,2022-05-02,한국,하우스키퍼,글 채용택 그림 유현,161,9.75,189002,판타지,"판타지,슈퍼스트링,아포칼립스,sf,먼치킨,감염",2019-01-21,2023-09-11,False,웹툰,3,False,True,0,1694.0
37,สุดยอดฮันเตอร์สายคลีน,Dalbeat / GoilGoil,액션,83560,2100000,63423,9.44,45,2022-10-03,2023-07-24,한국,회귀한 천재 헌터의 슬기로운 청소생활,글/그림 고일고일 원작 달비트,45,8.93,171608,판타지,"판타지,사이다,회귀,헌터물,먼치킨,소설원작",2022-06-29,2023-05-03,False,웹툰,1,False,True,294,308.0
38,นักล่าโหมดออโต้,DANUT / ARO,액션,169006,5200000,96180,8.56,92,2021-09-27,2023-06-12,한국,나 혼자 자동사냥,글 블랙시드 엔터테인먼트 그림 다넛,93,8.8,54,소년,소년,2019-09-06,2021-02-19,True,시리즈,1,False,True,623,532.0
39,Hunter Game,Spookyz,스릴러,586613,14800000,237375,9.81,88,2020-04-27,2023-05-07,태국,,,0,,0,,,,,,,0,False,False,1105,
40,เดเดส จอมนางพลิกชะตา,egestigi,로맨스판타지,79524,2200000,77348,9.55,47,2022-05-09,2023-03-13,인도네시아,,,0,,0,,,,,,,0,False,True,308,
41,อาร์ติแฟกต์ถล่มดันเจี้ยน,Zerowater / UMKY,액션,479987,16500000,230978,9.72,108,2021-02-15,2023-03-06,한국,던전 씹어먹는 아티팩트 [독점],"글 제로워터, 엄키 그림 엄키",136,9.4,50,소년,소년,2020-11-17,2023-09-06,False,시리즈,1,False,True,749,1023.0
42,บุษบาเสี่ยงตรีน,Amulin,개그,324515,5500000,183412,9.84,30,2022-08-14,2023-02-19,태국,,,0,,0,,,,,,,0,False,False,189,
43,จานนี้เพื่อนาย,kumran / jeosuli,LGBTQ+ / Y,120227,2100000,71059,9.81,32,2022-05-30,2022-12-19,한국,보나페티 [BL],글 벼락부자 그림 금란,74,9.7,1,BL,BL,2023-05-04,2023-09-08,False,시리즈,1,False,True,203,127.0
44,วุ่นรักชมรมวารสาร,Lintankleen,로맨스,48883,819994,30250,9.52,49,2021-11-29,2022-10-17,인도네시아,,,0,,0,,,,,,,0,False,True,322,
45,นึกว่าเป็นอิเซไคธรรมดา,DOYOSAY / A-Jin,로맨스판타지,99418,3000000,161648,9.86,11,2023-07-11,2023-09-12,한국,흔한 빙의물인 줄 알았다,글 DOYOSAY 그림 아진 원작 레몬개구리,32,9.95,127357,로맨스,"로맨스,로판,소설원작",2023-04-04,2023-09-12,False,웹툰,4,False,True,63,161.0
46,แผนหย่าสามีทรราช,Josara / Oh Youn Ha,로맨스판타지,164507,4400000,119045,9.4,31,2023-02-21,2023-09-12,한국,폭군 남편과 이혼하겠습니다,글/그림 조사라 원작 오윤하,61,9.84,108825,로맨스,"로맨스,차원이동,사이다,빙의,걸크러시,소설원작",2022-07-22,2023-09-08,False,웹툰,1,False,True,203,413.0
47,QUESTISM,YuNuni / TAEWAN,판타지,646460,20600000,308593,9.82,85,2022-02-08,2023-09-12,한국,퀘스트지상주의,글/그림 박태준 만화회사,103,9.28,547666,드라마,"드라마,게임판타지,학원물",2021-10-24,2023-09-10,False,웹툰,11,False,True,581,686.0
48,นาโนมาชิน,กึมกังบุลกเว / ฮยอนจอลมู,액션,1500000,53200000,400064,9.92,154,2020-09-22,2023-09-12,한국,나노마신,글 현절무 그림 금강불괴 원작 한중월야,170,9.91,532453,무협/사극,"무협/사극,레드아이스 스튜디오,사이다,게임판타지,이능력배틀물,소설원작",2020-06-10,2023-09-06,False,웹툰,2,False,True,1085,1183.0
49,บุตรสาวของดยุกปีศาจ,Chal Lan / Han ocean,로맨스판타지,800137,19700000,360114,9.81,88,2022-01-18,2023-09-12,한국,괴물공작의 딸,글 한바다 그림 찬란,117,9.21,187388,판타지,"판타지,힐링,육아물",2021-07-13,2023-09-12,False,웹툰,1,False,True,602,791.0
50,เซเรน่า,Ina,로맨스판타지,161745,4700000,174285,9.05,39,2022-12-27,2023-09-12,한국,세레나,글 정이나 그림 정이나,53,9.8,131,순정,순정,2022-10-21,2023-09-08,False,시리즈,2,False,True,259,322.0
51,เกิดอีกครั้งก็ยังเป็นลูกแม่,Yong Wonchang / New pangpang,로맨스판타지,111050,2800000,121934,9.9,25,2023-04-04,2023-09-12,한국,두 번째 딸로 태어났습니다,글/그림 용원창 원작 뉴궁딩팡팡,43,9.88,100491,로맨스,"로맨스,러블리,소설원작",2022-05-11,2023-03-01,False,웹툰,1,False,True,161,294.0
52,ชมรมจิ้งจอก,HJ.Hwang,로맨스,213329,4200000,92922,9.74,56,2022-08-30,2023-09-12,한국,여우놀이,글/그림 황혜진,84,9.83,334973,드라마,"드라마,아이돌,폭스남,2020 지상최대공모전,학원로맨스,하이틴",2021-08-05,2023-09-07,False,웹툰,1,False,True,378,763.0
53,เลวฟาดเลว,GRIMZO,액션,224785,6700000,159096,9.7,52,2022-09-27,2023-09-12,한국,일진담당일진,글/그림 GRIMZO,64,9.91,610687,액션,"액션,사이다",2022-07-05,2022-07-05,False,웹툰,1,False,True,350,0.0
54,เรื่องกลุ้ม ๆ ของเลขาชู,Banjiyoung / Solbangul,로맨스,13174,454082,37011,9.95,7,2023-08-08,2023-09-12,한국,비서 일탈,글 솔방울 그림 꿀봉이 원작 반지영,51,9.88,124941,로맨스,"로맨스,고자극로맨스,2030연애,직진남,오피스로맨스,소설원작",2022-10-26,2023-09-06,False,웹툰,1,False,True,35,315.0
55,Love on the Nile หัวใจของท่าน! ข้าจะลัก(รัก)ละนะ!,ยีราฟคอยาว,LGBTQ+ / Y,155444,3200000,112821,9.61,40,2022-12-12,2023-09-18,태국,,,0,,0,,,,,,,0,False,False,280,
56,ลิปสติกพิศวงของจักรพรรดินี,Coffeebean / JJG,로맨스판타지,194413,3900000,87921,9.67,54,2022-09-13,2023-09-12,한국,황후의 립스틱,글 커피콩 그림 전지구,69,9.76,72993,로맨스,로맨스,2022-04-16,2022-04-16,False,웹툰,1,False,True,364,0.0
57,ชีวิตนักเขียนเว็บตูนสุดสยิว,JOOYA,로맨스,28444,659388,44988,9.8,12,2023-07-04,2023-09-12,한국,성스러운 작가생활,글/그림 이작가야,30,9.94,181287,로맨스,"로맨스,요즘핫한추천작,로맨스코미디,직업드라마,전남친,까칠남,성인웹툰",2023-03-28,2023-09-12,False,웹툰,1,False,True,70,168.0
58,ช่วยด้วย ผมโดนเธอคุมหัวใจ,Xuann,로맨스,704046,14700000,238132,9.78,127,2021-04-20,2023-09-12,한국,순정말고 순종,글/그림 슈안,138,9.92,509990,로맨스,"로맨스,로맨스코미디,연예계,삼각관계",2020-12-13,2023-09-10,False,웹툰,2,False,True,875,1001.0
59,ยูมยองจะเป็นซุป’ตาร์,SOOJIN,드라마,34517,834441,40755,9.79,17,2023-05-30,2023-09-12,한국,뮤즈 온 유명,글/그림 수진,52,9.97,253821,드라마,"드라마,2030연애,하이퍼리얼리즘,전남친,청춘로맨스,재회,연예계",2022-10-19,2023-09-06,False,웹툰,4,False,True,105,322.0
60,หวังรักในปักษา,ก่อนกรกฎ / YY_2900,LGBTQ+ / Y,24406,502716,30512,9.6,13,2023-06-27,2023-09-18,태국,,,0,,0,,,,,,,0,False,False,83,
61,วันดีคืนดี โซลก็...,Park Changgeun,스릴러,67140,1400000,46391,9.9,33,2023-02-07,2023-09-12,한국,어느날 갑자기 서울은,글/그림 박창근,118,9.87,228238,스릴러,"스릴러,아포칼립스,좀비,감염",2021-07-10,2023-09-02,False,웹툰,1,False,True,217,784.0
62,Villain To Kill,อึนจี / พิวพิน,액션,441988,13400000,217454,9.78,94,2021-07-06,2023-09-12,한국,빌런투킬,글 퓨핀 그림 은지,117,9.88,173308,판타지,"판타지,피카레스크,사이다,이능력배틀물,소년왕도물,복수극",2021-02-15,2023-09-11,False,웹툰,1,False,True,798,938.0
63,King Game,Shin Hyungwuk / killer whale,액션,73576,2500000,71417,9.44,48,2022-10-25,2023-09-12,한국,왕게임,글 신형욱 그림 범고래,62,9.84,111713,액션,"액션,블루스트링,학원물,서스펜스",2022-08-01,2023-09-11,False,웹툰,4,False,True,322,406.0
64,The RUNWAY,Domi / Nokdu,로맨스,176320,5600000,142938,9.58,72,2022-08-02,2023-09-12,한국,THE 런웨이,글 도미 그림 녹두 원작 Hirachell,112,9.31,131377,로맨스,"로맨스,오피스로맨스,사내연애,소설원작",2021-08-25,2023-09-06,False,웹툰,1,False,True,406,742.0
65,พัสดุมาส่งแล้วครับ,onehand,스릴러,86047,2200000,62804,9.62,46,2022-11-08,2023-09-12,한국,택배 왔습니다,글/그림 이한손,51,9.84,72248,스릴러,"스릴러,서스펜스,완결스릴러",2021-12-06,2022-11-21,True,웹툰,1,False,True,308,350.0
66,หย่ากันเถอะ!,Seohu / Haein,로맨스,15402,410057,38404,9.77,10,2023-07-18,2023-09-12,한국,진짜 진짜 이혼해,글 서후 그림 해인,67,9.87,85829,로맨스,"로맨스,2021 지상최대공모전,계약연애,친구>연인,오피스로맨스,선결혼후연애",2022-02-23,2022-02-23,True,웹툰,1,False,True,56,0.0
67,บีมา หนุ่มหน้าโหดโหมดน่ารัก,telormatasappi,일상,134539,2300000,63141,9.68,50,2022-10-11,2023-09-12,인도네시아,,,0,,0,,,,,,,0,False,True,336,
68,โรงเรียนนี้ผีเยอะ!,คุณนกฮูก,판타지,242238,5700000,91934,9.58,105,2021-06-29,2023-09-11,태국,,,0,,0,,,,,,,0,False,False,804,
69,WEE!!!,Amoeba UwU,일상,188344,3100000,73611,9.77,69,2022-05-31,2023-09-12,인도네시아,,,0,,0,,,,,,,0,False,True,469,
70,โรงเรียนเหนือมนุษย์,uru-chan,액션,477174,17100000,158792,9.28,197,2019-12-17,2023-09-12,미국,,,0,,0,,,,,,,0,False,True,1365,
71,Kill the Dragon,Miss Jisu / J-Sun(REDICE STUDIO),액션,82740,2100000,63403,9.74,57,2022-08-23,2023-09-12,한국,킬 더 드래곤,글 현가 그림 미스 지수 원작 백수귀족,78,9.89,72720,액션,"액션,레드아이스 스튜디오,헌터물,소설원작",2022-04-28,2023-09-07,False,웹툰,1,False,True,385,497.0
72,Double Click,KIM JANGHUN / PARK SUBONG,액션,73285,1900000,58005,9.69,53,2022-09-20,2023-09-12,한국,더블클릭,글 박수봉 김장훈 그림 박수봉,113,9.91,167071,액션,"액션,게임판타지,스포츠성장",2021-08-15,2023-09-10,False,웹툰,7,False,True,357,756.0
73,เดตที่ชอบกับคนที่ใช่,ทารี,로맨스,36502,880533,50321,9.65,30,2023-02-28,2023-09-12,한국,미혼남녀의 효율적 만남,글/그림 타리,52,9.89,140207,로맨스,"로맨스,2030연애,현실로맨스,하이퍼리얼리즘,오피스로맨스,완결로맨스",2021-09-30,2022-09-29,True,웹툰,3,False,True,196,364.0
74,เป็นเธอมาตลอด,I SOON KI / OH5HO,로맨스,9993,434968,20184,9.42,15,2023-06-06,2023-09-12,한국,모두 너였다,글 이순기 그림 오정호 원작 이재익,88,9.91,113821,로맨스,"로맨스,소설원작,완결로맨스",2021-01-15,2023-01-06,True,웹툰,5,False,True,98,721.0
75,"990,000 อดีตชาติ ช่วยฉันที",Invader / Marucomics,액션,152255,4700000,118411,8.77,82,2022-03-01,2023-09-12,한국,99만 전생이 날 도와줘,글 침략자 출판사KW북스,263,6.7,3,판타지,판타지,2019-05-03,2021-08-25,True,시리즈,21,False,True,560,845.0
76,เจตนาท้ารัก,takbon / Seo hye eun,로맨스,21247,712294,42079,9.77,27,2023-03-21,2023-09-12,한국,고의적 스캔들,글 서혜은 그림 탁본,46,9.6,9,순정,순정,2022-07-08,2022-07-08,True,시리즈,1,False,True,175,0.0
77,DARK MOON: เมืองสีเทา,HYBE,판타지,45414,937629,43734,9.78,40,2022-12-06,2023-09-12,한국,DARK MOON: 회색 도시,글/그림 HYBE,43,9.54,17867,판타지,"판타지,세계관,다크판타지,느와르",2022-12-05,2023-09-11,False,웹툰,6,False,True,280,280.0
78,ซูฮี0 (suhee0),Birthdaymood,드라마,95588,1900000,44535,9.53,91,2021-12-28,2023-09-12,한국,수희0(tngmlek0),글/그림 생일기분,117,9.84,246456,드라마,"드라마,하이퍼리얼리즘,인플루언서,머니게임",2021-07-03,2023-09-09,False,웹툰,1,False,True,623,798.0
79,ซูเปอร์สตริง - สู่มัลติเวิร์สมาร์โคโปโล,Inwan Youn / Boichi,판타지,4326,130319,11495,9.91,9,2023-08-01,2023-09-12,한국,,,0,,0,,,,,,,0,False,True,42,
80,อรุณสวัสดิ์ครับคุณภรรยา,EUNNA / Sombe,로맨스,27515,1000000,49181,9.19,43,2022-11-29,2023-09-12,한국,"아마도, 굿모닝 [독점]","글 우지혜, 은나 그림 솜베",65,9.6,11,순정,순정,2022-05-28,2023-07-01,True,시리즈,7,False,True,287,399.0
81,สัญญาก่อนแต่งงาน,Siwon / FLADA,로맨스,85355,3100000,95608,9.34,87,2022-01-25,2023-09-12,한국,혼전계약서,글/그림 시원 원작 플아다,109,9.73,101228,로맨스,"로맨스,소설원작",2021-11-29,2021-11-29,False,웹툰,3,False,True,595,0.0
82,Land of Joy,Khunkhom,일상,938977,30100000,118540,8.84,647,2017-04-25,2023-09-18,태국,,,0,,0,,,,,,,0,False,False,2337,
83,Cross The Line,ฮอยุนมี,드라마,149915,3400000,78039,9.65,119,2021-06-15,2023-09-12,한국,HD크로스 더 라인,글 허윤미 그림 허윤미,159,9.9,25,순정,순정,2022-10-02,2022-10-02,True,시리즈,9,False,True,819,0.0
84,Open World,I Toon Studio Team,액션,3905,190151,7616,8.61,19,2023-05-15,2023-09-18,태국,,,0,,0,,,,,,,0,False,False,126,
85,30 ซม. ระยะห่างระหว่างเรา,YUJU,로맨스,17003,446590,26651,9.42,55,2022-09-06,2023-09-12,한국,우리 사이 30cm,글 YUJU 그림 YUJU,100,9.3,52,순정,순정,2021-08-27,2021-08-27,True,시리즈,4,False,True,371,0.0
86,จักรพรรดินีขอลาออก,Kim hee sung / galbi,로맨스판타지,56642,1500000,53691,9.42,1,2023-06-13,2023-06-13,한국,황후 자리를 버리겠습니다,글 김희성 그림 갈비 원작 한보연,38,9.93,151289,로맨스,"로맨스,궁중로맨스,사이다,로판,소설원작",2023-03-30,2023-03-30,False,웹툰,1,False,True,0,0.0
87,บทเพลงรักแห่งฮีรัน,MIDNIGHT STUDIO / Kim Suji,로맨스판타지,500171,11800000,261516,9.8,7,2022-02-15,2022-03-22,한국,희란국연가,글/그림 MIDNIGHT STUDIO 원작 김수지,69,9.94,222115,로맨스,"로맨스,후회물,혐관로맨스,동양풍판타지,이세계,인외존재,삼각관계",2021-10-21,2023-09-07,False,웹툰,3,False,True,35,686.0
88,DARK MOON: เมืองสีเทา | นิยาย,HYBE,소설,1428,77425,4512,8.28,40,2022-02-15,2022-03-22,한국,,,0,,0,,,,,,,0,False,True,35,
89,อัศวินคนนี้ ถึงทีต้องเป็นคุณหนู,Ink. / ซองฮเยริม,로맨스판타지,786861,17800000,279476,9.64,3,2021-06-08,2021-06-08,한국,그 기사가 레이디로 사는 법,글 아인 그림 Ink. 원작 성혜림,106,9.93,230900,판타지,"판타지,혐관로맨스,삼각관계,빙의,로판,소설원작",2021-03-11,2023-09-07,False,웹툰,2,False,True,0,910.0
90,แหวนเชื่อมรัก,WHAT / Chelliace,LGBTQ+ / Y,101640,2000000,68349,9.61,3,2023-01-10,2023-01-10,한국,HD관계의 고리 [BL],"글 WHAT, 첼리아케 그림 WHAT",63,9.8,18,BL,BL,2022-01-19,2023-09-13,False,시리즈,1,False,True,0,602.0
91,กฎแห่งเกม,YUTIST,액션,48708,1600000,42642,9.4,3,2022-08-09,2022-08-09,한국,게임의 법칙,글/그림 유티스트,78,9.78,77584,액션,액션,2021-12-24,2021-12-24,False,웹툰,2,False,True,0,0.0
92,ตัวร้ายอย่างฉันก็เป็นเจ้าหญิงนะ!,ฮันรีอัง / วีจังยัก,로맨스판타지,74954,2000000,77520,7.72,50,2021-11-23,2023-04-25,한국,황녀인데 악녀입니다,글 한리앙 그림 수자,50,9.44,32169,로맨스,로맨스,2022-05-15,2022-05-15,False,웹툰,1,False,True,518,0.0
93,Momfluencer,เมมี / ฮีเซ,드라마,159191,3900000,54618,8.94,73,2021-11-16,2023-04-04,한국,팔이피플,글 매미 그림 희세,73,9.86,332528,드라마,"드라마,계략여주,하이퍼리얼리즘,인플루언서",2021-07-18,2023-03-05,False,웹툰,3,False,True,504,595.0
94,หวานใจสุดโหดโหมดเชื่อง,Jyun / SHINJI,로맨스판타지,142335,4200000,143545,9.07,41,2022-07-05,2023-03-28,한국,,,0,,0,,,,,,,0,False,True,266,
