,제목,작가,장르(태국),좋아요수,조회수,구독수,별점,회차,연재시작일(태국),마지막연재일(태국),국가,한국제목,한국작가명,회차(한국),별점(한국),관심수(한국),장르(한국),해시태그(한국),연재시작일(한국),마지막연재일(한국),완결여부,웹툰/시리즈구분,작가전작개수,OSMU여부,태국진출여부,연재기간(태국),연재기간(한국)
743,มัธยมซอมบี้ [All of Us Are Dead],จูดงกึน,스릴러,644838,39300000,290128,8.96,14,2016-01-18,2016-01-29,한국,[드라마원작] 지금 우리 학교는,글/그림 주동근,131,9.8,390390,스릴러,"스릴러,드라마&영화 원작웹툰,아포칼립스,좀비,성인웹툰,완결스릴러",2009-05-13,2011-11-09,True,웹툰,5,True,True,11,910.0
744,Sketched Love วาดรักละลายใจ,PuGun25,로맨스,190611,4200000,106426,9.6,4,2020-04-26,2020-05-03,태국,,,0,,0,,,,,,,0,False,False,7,
745,Goldfish Girl Wonder สาวปลาทองต้องเป็นของฉัน,NEOYUYU,로맨스,268379,5700000,131154,9.74,4,2019-11-29,2019-12-06,태국,,,0,,0,,,,,,,0,False,False,7,
746,จัมป์จากโลกการ์ตูน ขอจูนหัวใจเธอ,นิมนี,로맨스,85556,1900000,71003,9.65,7,2020-09-23,2020-10-21,한국,만찢남녀,글/그림 님니,53,9.94,84030,로맨스,"로맨스,공감성수치,완결로맨스",2019-09-14,2020-09-12,True,웹툰,3,False,True,28,364.0
747,สลับร่างนายคู่แฝด,ปาร์คแจซอง / ปาร์คซองแจ,로맨스,169128,5300000,126431,9.36,7,2019-11-23,2019-12-21,한국,형의 그녀,글 박재성 그림 박성재,50,7.06,16402,로맨스,"로맨스,완결로맨스",2020-10-19,2020-10-19,True,웹툰,1,False,True,28,0.0
748,ผู้ก่อการร้าย,Han Dong-woo / KOJINO,액션,1000000,37900000,333370,9.82,8,2016-12-15,2017-01-11,한국,테러맨,글 한동우 그림 고진호,211,9.84,369121,액션,"액션,슈퍼스트링,힘숨찐,먼치킨,완결액션",2016-01-14,2020-05-21,True,웹툰,5,False,True,27,1589.0
749,Mind core ภาวะของหัวใจ,Pavida Yingprasert,드라마,107484,2500000,64879,9.63,5,2019-08-06,2019-08-20,태국,,,0,,0,,,,,,,0,False,False,14,
750,สเปกรักสปาร์กใจ,ทารี,로맨스,265709,7500000,145277,9.43,11,2020-05-13,2020-05-15,한국,좋아하는 부분,글/그림 타리,108,9.75,355743,로맨스,"로맨스,완결로맨스",2017-08-09,2019-10-02,True,웹툰,3,False,True,2,784.0
751,Touched Love สัมผัสรักล้นใจ,PuGun25,로맨스,484684,12000000,255102,9.78,5,2018-12-31,2019-01-14,태국,,,0,,0,,,,,,,0,False,False,14,
752,ลุ้นรักป่วนใจนายไฮโซ,คิมจิซู,로맨스,848511,20800000,278740,9.7,12,2019-06-19,2019-08-21,한국,삶이 우리를 속일지라도,글/그림 김지수,104,9.91,172016,로맨스,"로맨스,재벌,완결로맨스",2019-03-31,2021-03-21,True,웹툰,2,False,True,63,721.0
753,หุบเขามรณะ,moconut,스릴러,357274,11500000,168330,9.73,98,2017-08-17,2019-07-11,한국,미시령,글/그림 모코넛,131,9.87,154464,스릴러,"스릴러,최강자전,2016 최강자전",2017-06-06,2023-09-12,False,웹툰,1,False,True,693,2289.0
754,ปมสยอง,Yutapoom Tungsirisumrit,스릴러,590547,14900000,205904,9.69,116,2017-02-05,2019-05-12,태국,,,0,,0,,,,,,,0,False,False,826,
755,หัวโจก,จองจงแทก,액션,1100000,53500000,447562,9.82,134,2016-09-04,2019-03-16,한국,,,0,,0,,,,,,,0,False,True,923,
756,Dark Village,Toei,스릴러,511828,23900000,310131,9.62,82,2016-09-01,2018-04-26,태국,,,0,,0,,,,,,,0,False,False,602,
757,Perfect Honeymoon,east wind / jeong min. P,로맨스,202822,6100000,159655,9.81,3,2017-09-08,2017-09-08,한국,완벽한 허니문,글 화류동풍 그림 옛사람,28,9.96,248997,로맨스,"로맨스,혐관로맨스,완결로맨스",2016-12-12,2017-06-19,True,웹툰,4,False,True,0,189.0
758,PADO,KJH STUDIO,드라마,264526,7800000,118979,9.75,8,2018-01-25,2018-03-01,한국,파도를 찾아라!,글/그림 김정현,72,9.94,160088,스포츠,"스포츠,완결스포츠",2017-12-20,2019-05-08,True,웹툰,4,False,True,35,504.0
759,The Red Book,รังโต,스릴러,74263,5000000,82152,9.24,26,2017-08-23,2018-02-07,한국,빨간책,글/그림 랑또,26,9.89,129147,스릴러,"스릴러,완결스릴러",2015-04-01,2015-06-21,True,웹툰,9,False,True,168,81.0
760,กูรูควอกก้า,Quokka,개그,60337,2500000,52386,9.47,33,2017-09-12,2018-02-01,태국,,,0,,0,,,,,,,0,False,False,142,
761,รางวัลที่หนึ่ง,ฮงซึงพโย,드라마,324095,15100000,223299,9.44,6,2016-04-23,2016-05-14,한국,일등당첨,글/그림 미티,74,9.89,455059,드라마,"드라마,완결드라마",2014-04-13,2015-09-06,True,웹툰,20,False,True,21,511.0
762,Dear Diary สวัสดีความทรงจำ,KOMAI กอไหม,감성,1700000,63300000,782833,9.81,9,2015-07-04,2015-08-29,태국,,,0,,0,,,,,,,0,False,False,56,
763,Seventeen,PlayList,로맨스,55946,3400000,122164,8.64,8,2017-06-29,2017-07-22,한국,열일곱,글/그림 플레이리스트,8,6.6,26773,로맨스,"로맨스,완결무료,완결로맨스",2017-07-01,2017-07-24,True,웹툰,1,False,True,23,23.0
764,ฮาเร็มแฝดสี่ล้อมหัวใจเธอ,โซอิ,로맨스,423009,15300000,331115,9.65,3,2017-05-01,2017-05-01,한국,그들에게 사면초가,글/그림 소이,53,9.92,140394,로맨스,"로맨스,최강자전,2016 최강자전,완결로맨스",2017-03-02,2018-03-01,True,웹툰,3,False,True,0,364.0
765,เขี้ยวรักสีส้ม,ซอกอู,로맨스,1300000,82000000,764280,9.73,7,2014-12-03,2016-05-04,한국,오렌지 마말레이드,글/그림 석우,125,9.92,379261,로맨스,"로맨스,드라마&영화 원작웹툰,완결로맨스",2011-02-05,2014-01-04,True,웹툰,6,True,True,518,1064.0
766,โอฮาโย ยูซัง!,Yong Swen,일상,201305,8000000,221101,9.78,24,2016-08-08,2017-01-30,태국,,,0,,0,,,,,,,0,False,False,175,
767,Siren's Lament,instantmiso,로맨스,937627,35700000,526364,9.76,26,2016-08-07,2016-12-11,미국,,,0,,0,,,,,,,0,False,True,126,
